"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\dist\public\.vite\manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\dist\public\assets\main-C1XBfSQg.js", "JavaScript", 0, 3798, 0, 0, 0, 8, 105, 3911
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\dist\public\assets\main-Da-0qbhD.css", "CSS", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\dist\public\css\styles.css", "CSS", 0, 0, 0, 111, 0, 12, 15, 138
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\dist\public\js\library.js", "JavaScript", 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\index.html", "HTML", 0, 0, 16, 0, 0, 4, 7, 27
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\package-lock.json", "JSON", 1685, 0, 0, 0, 0, 0, 1, 1686
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\package.json", "JSON", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\public\css\styles.css", "CSS", 0, 0, 0, 111, 0, 12, 15, 138
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\public\js\library.js", "JavaScript", 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\App.js", "JavaScript", 0, 63, 0, 0, 0, 13, 17, 93
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\EventObjects\Button.js", "JavaScript", 0, 29, 0, 0, 0, 2, 8, 39
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\EventObjects\InputManager.js", "JavaScript", 0, 7, 0, 0, 0, 3, 3, 13
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\EventObjects\KeyManager.js", "JavaScript", 0, 31, 0, 0, 0, 16, 10, 57
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\EventObjects\MouseManager.js", "JavaScript", 0, 126, 0, 0, 0, 17, 30, 173
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\EventObjects\SceneManager.js", "JavaScript", 0, 107, 0, 0, 0, 10, 26, 143
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\EventObjects\TimeManager.js", "JavaScript", 0, 43, 0, 0, 0, 15, 9, 67
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\Block.js", "JavaScript", 0, 21, 0, 0, 0, 1, 5, 27
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\Entity.js", "JavaScript", 0, 26, 0, 0, 0, 12, 6, 44
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\Gun.js", "JavaScript", 0, 48, 0, 0, 0, 35, 7, 90
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\PhysicsEntity.js", "JavaScript", 0, 143, 0, 0, 0, 30, 31, 204
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\Player.js", "JavaScript", 0, 87, 0, 0, 0, 119, 33, 239
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\Projectile.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\GameObjects\StaticEntity.js", "JavaScript", 0, 36, 0, 0, 0, 24, 11, 71
"c:\Users\nacoc\Desktop\JS Canvas Projects\Paintball.io\client\src\Globals.js", "JavaScript", 0, 13, 0, 0, 0, 1, 5, 19
